Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Bahamas, The",BHS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,82.476,82.532,82.596,82.668,82.746,82.832,82.925,83.025,83.132,83.245,83.365,83.492,83.625,83.764
"Bahamas, The",BHS,"School enrollment, tertiary (% gross)",SE.TER.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.571,73.707,73.93,74.029,73.805,74.042,74.031,74.062,71.408,72.994,70.752,74.491,74.552,..
"Bahamas, The",BHS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,14.52,14.02,16.18,13.8,12,12.7,9.8,10,9.336,..,..,..,8.645,..
Bahrain,BHR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.40004069748808,2.75739669962981,3.30001156888437,2.64755321246194,1.8486274237498,2.78679347602043,1.38671830576399,2.08766938046983,1.00582004702132,-2.31770629331375,-0.606319385140878,3.62574104304489,0.0746206782191527,0.919635459817729
Bahrain,BHR,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,53132.3284162611,54516.8406594787,55376.4005147894,55065.8189472129,54149.9131524721,54107.0752236423,53859.7749589601,54893.0724411368,56749.9628370612,53814.2452592358,54954.6757895532,57572.997981018,57819.9051831242,59129.1406763003
Bahrain,BHR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,88.695,88.762,88.835,88.915,88.999,89.09,89.186,89.287,89.394,89.506,89.622,89.743,89.869,89.999
Bahrain,BHR,"School enrollment, tertiary (% gross)",SE.TER.ENRR,46.3075025646345,47.6811679519633,44.1274788546413,44.7866602427761,45.6439860607554,46.7631772606016,48.7280981931009,50.2628341348842,52.9045782700327,54.4077922369055,47.5015525503536,50.3073760962771,57.0562240948353,58.3677241853667
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.141,79.622,79.998,80.214,80.338,80.407,80.407,80.412,80.471,78.683,78.083,80.992,81.284,..
Bahrain,BHR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,4,1.2,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,11.3951651552399,6.21750422069283,7.53040640913172,6.99163889220849,6.19428022984985,5.51352572692994,5.70207015717244,5.54362139486472,5.59199639930633,5.69107474746208,5.54565430773475,7.69695437176898,9.88350303779208,10.4657482763412
Bangladesh,BGD,Gini index,SI.POV.GINI,..,..,..,..,..,32.4,..,..,..,..,..,30.9,..,..
Bangladesh,BGD,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,4352.42643359325,4592.04840919812,4822.72621378266,5068.63965672741,5352.71133299566,5682.53553494306,6005.70718781048,6392.59334024091,6838.32611608243,7015.19792797056,7441.06913961254,7888.16389098304,8242.39798977242,8486.78495660517
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,31.225,31.993,32.762,33.535,34.308,35.083,35.858,36.632,37.405,38.177,38.946,39.711,40.473,41.23
Bangladesh,BGD,"School enrollment, tertiary (% gross)",SE.TER.ENRR,13.2663245348367,13.4211598649529,13.4900578063704,13.5777392703559,15.5739926180902,17.3985207411042,18.5175604399834,19.5710492453779,22.7094642473405,22.6923019564501,23.9006822335243,23.5005059888653,24.2003442708621,23.7295608009814
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.499,68.989,69.487,70.016,70.543,71.075,71.606,72.122,72.625,71.421,71.103,74.265,74.672,..
Bangladesh,BGD,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2.504,..,4.426,..,..,4.35,4.372,..,..,..,..,4.593,3.352,..
Barbados,BRB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,9.43220240177219,4.53334753888772,1.81410436049102,1.76950322089726,-1.11278992510965,1.28192813061895,4.66018463955998,3.67381410406796,4.10028964518462,..,..,..,9.79207077126447,-0.462229168356189
Barbados,BRB,Gini index,SI.POV.GINI,..,..,..,..,..,34.1,..,..,..,..,..,..,..,..
Barbados,BRB,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,19050.5673740077,18936.0888111766,18695.6832903666,18665.1769798481,18464.6630889427,18754.6651416375,18740.3488338921,18484.6976381599,18572.509535997,15749.0380167909,15683.8847128096,18469.5765888638,19224.4621182944,19945.7371938511
Barbados,BRB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,31.7,31.553,31.429,31.328,31.249,31.193,31.159,31.147,31.158,31.191,31.246,31.324,31.425,31.548
Barbados,BRB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,66.9463967271583,70.0289730657796,73.1807704972012,71.2682628742848,57.2814457564167,52.0533712473342,51.0106696691866,45.8751983077737,48.935497470489,52.971630831,54.672,55.0600902713579,54.2600399378744,53.5815662047086
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.599,75.737,75.816,75.926,76.055,76.168,76.237,76.378,76.495,76.647,76.58,75.676,76.178,..
Barbados,BRB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,11.55,12.17,9.803,8.247,8.62,8.321,8.41,..,11.015,7.261,6.54,..
Belarus,BLR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,53.2286983118173,59.2197360232519,18.3122610377873,18.1195543526734,13.5344897649735,11.8365807653496,6.03183725177786,4.8723022055069,5.59815595039853,5.54814357456511,9.46028389623105,15.209675274081,5.00059903091313,5.78531910427999
Belarus,BLR,Gini index,SI.POV.GINI,27.2,26.5,26.6,27.2,25.6,25.3,25.4,25.2,25.3,24.4,..,..,..,..
Belarus,BLR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,25404.756603449,25879.1319443907,26147.6253573927,26564.4347191138,25513.213293121,24846.8301529773,25503.9809859341,26363.4629821253,26798.8206427961,26731.4953813508,27611.1801135157,26537.5083074867,27782.438013284,29037.5291400434
